date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:55:25	71199/71199	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Nov%202018%2015:10:27%20GMT	https://freebw.com/aweae/templates/tatee/home-main.html	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/home-main.html	(from )
12:55:26	190/190	---MCZ	403	error ('Forbidden')	text/html	date:Wed,%2016%20Jan%202019%2007:25:26%20GMT	https://freebw.com/robots.txt		(from )
12:55:26	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%225bfffef6-1149f%22	https://freebw.com/aweae/templates/tatee/vendor/mdi-font/css/material-design-iconic-font.min.css	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/vendor/mdi-font/css/material-design-iconic-font.min.css	(from https://freebw.com/aweae/templates/tatee/home-main.html)
12:55:26	35359/35359	---MCZ	200	added ('OK')	text/css	etag:W/%225bfffedc-8a1f%22	https://freebw.com/aweae/templates/tatee/vendor/font-awesome-5/css/fontawesome-all.min.css	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/vendor/font-awesome-5/css/fontawesome-all.min.css	(from https://freebw.com/aweae/templates/tatee/home-main.html)
12:55:26	16435/16435	---MCZ	200	added ('OK')	text/css	etag:W/%225c0000ee-4033%22	https://freebw.com/aweae/templates/tatee/vendor/themify-font/themify-icons.css	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/vendor/themify-font/themify-icons.css	(from https://freebw.com/aweae/templates/tatee/home-main.html)
12:55:27	9682/9682	---MCZ	200	added ('OK')	text/css	etag:W/%225bfffe33-25d2%22	https://freebw.com/aweae/templates/tatee/css/poppins-font.min.css	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/css/poppins-font.min.css	(from https://freebw.com/aweae/templates/tatee/home-main.html)
12:55:27	142041/142041	---MCZ	200	added ('OK')	text/css	etag:W/%225bfffed6-22ad9%22	https://freebw.com/aweae/templates/tatee/vendor/bootstrap-4.1/bootstrap.min.css	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/vendor/bootstrap-4.1/bootstrap.min.css	(from https://freebw.com/aweae/templates/tatee/home-main.html)
12:55:27	52789/52789	---MCZ	200	added ('OK')	text/css	etag:W/%225bfffed2-ce35%22	https://freebw.com/aweae/templates/tatee/vendor/animate.css/animate.min.css	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/vendor/animate.css/animate.min.css	(from https://freebw.com/aweae/templates/tatee/home-main.html)
12:55:27	22172/22172	---MCZ	200	added ('OK')	text/css	etag:W/%225bfffedb-569c%22	https://freebw.com/aweae/templates/tatee/vendor/css-hamburgers/hamburgers.min.css	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/vendor/css-hamburgers/hamburgers.min.css	(from https://freebw.com/aweae/templates/tatee/home-main.html)
12:55:27	27478/27478	---MCZ	200	added ('OK')	text/css	etag:W/%225bfffed4-6b56%22	https://freebw.com/aweae/templates/tatee/vendor/animsition/animsition.min.css	D:/Venkatesh/httracker/tatee/freebw.com/aweae/templates/tatee/vendor/animsition/animsition.min.css	(from https://freebw.com/aweae/templates/tatee/home-main.html)
